ReviewText,Review,ReviewLength,PlayHours,DatePosted,Game
"hmm , i don't like it AT ALL !nothing better then Palworld",Not Recommended,64,0.9 hrs on record,Posted: March 3,Craftopia
"This is a very fun, grindy, survival, anime style graphics. So much to do you'll be busy for a long time. I really recommend it.",Recommended,121,54.1 hrs on record,Posted: March 2,Craftopia
I continue to enjoy it.,Recommended,36,233.4 hrs on record,Posted: March 2,Craftopia
"It's a great game!There is so much to unlock and explore.Many parts of this game remind me of Zelda to be honest...I really like how the game is made!You can also use many VRoid models to play (it's kinda buggy in multiplayer tho).But I also miss the experimental start island...With the limited resources and tutorials.The old dungeons, how they looked and worked.And what got a big change... the portal.It's now open world...I liked the idea of a portal, needing resources to unlock more ""islands""/worlds.Each one with different biomes, resources and mobs!Great game. Still loving it.",Recommended,509,87.6 hrs on record,Posted: March 1,Craftopia
"This game is the very embodiment ""Jack of all trades, master of none"".Yes, it has elements of (insert game genre here) but they are probably done better on (game that focuses only on sole genre). Yes, that includes crafting. Building. Colony sim. Farming. FPS. Vehicle Combat. Minion Combat. Survival. Exploration. Storyline.... And am sure there are thousands more different genre niches that this ticks off. Can you idle to gain resources like an idle game? Sure! Can you focus on dungeon crawling? Absolutely!Do not go into this game expecting the best RPG elements or the best automation elements, but know that it has those elements and more. And it does each genre justice, too!9/10 if you want to play a game that is all the games.5/10 if you want to play for a specific genre.",Recommended,667,13.7 hrs on record,Posted: March 1,Craftopia
"Come on guys, it's already been 3 years; why is it still early access? Don't focus only on Palworld; this game has great potential.",Recommended,125,43.4 hrs on record,Posted: February 27,Craftopia
Good,Recommended,21,38.9 hrs on record,Posted: February 27,Craftopia
janky but fun,Recommended,28,69.0 hrs on record,Posted: February 22,Craftopia
ahh performance tank while cranking up global illumination fx and the fps goes from 100 into 15 fps. optimize your game asap.,Recommended,121,3.4 hrs on record,Posted: February 20,Craftopia
Product refundedI liked the idea it was going for but it is really unpolished and not worth it. The building sucks. The combat is subpar. Kinda wish the devs gave it more attention but it's been in early access for like 4 years.,Not Recommended,203,1.0 hrs on record,Posted: February 28,Craftopia
"I remember back when they had the tiny islands for maps, and how dull it was to explore such a tiny map. it made vehicles useless, save maybe the helicopter. The seamless update fixed that for me, and I was enjoying it for a long time. As a game, It mixes a bunch of my favourite rpg aspects into a mix of survival craft. They developed pal world too. If I had to go back and pick between which one to play again it would be craftopia. Pal World was an over night hit, but Ill be honest I had to stop. It was less fun than craftopia for me. Palworld has a problem: Lack of story.Im more of an rpg gamer to be honest... I play a title to the end (or until i get bored) and I move to the next. Gaming is my version of reading books. The stories video games can tell and how they tell it is amazing. I feel palworld has that missing, while craftopia at least has a generic storyline.",Recommended,721,197.1 hrs on record,Posted: February 25,Craftopia
"With the implementation of the Seamless update (one big giant world instead of small island sections to travel too), the game has improved a lot. If you like an open world sandbox where you can build automation then this is the game for you. The building takes a little bit to get used to but other then that it's worth playing. Another nice thing is that you can adjust the world settings even after your world is created and the same thing goes for your character as well. Your character and your world is separate from one another which is a big plus. Overall it's a fun game to get lost in and i highly recommend it.",Recommended,521,205.0 hrs on record,Posted: February 20,Craftopia
horrible game. multiplayer is unstable and monsters move with extremely low fps. mechanics heavily inspired by games like genshin impact and breath of the wild. some of the assets and animations looked stolen right out of genshin which would not surprise me because the developer of this game also did palworld which is under scrutiny for using ai and stolen assets.steam will not refund me and i am now stuck with this garbage. 👍 would not recommend buying even on sale,Not Recommended,407,5.5 hrs on record,Posted: February 23,Craftopia
Devs just took most of what's here and stuck it in PalWorld. news/stories keep saying PalWorld didn't take long it's simple they took what they already developed Craptopia re-skinned it to what is super popular today. so many other developers need to learn thier lessons like this dev did. take all of it put it in the game even if it sucks or is controversial. the player base will use what they like and dump/ignore the rest. then take that add anyting else that is/was popular try again.,Not Recommended,420,31.8 hrs on record,Posted: February 20,Craftopia
"Don't Buy UNTIL it is finished. Great concept, but more than half of the items don't work, most of the items don't even have descriptions, and if you're like me, it will take you more than 2 hours (the play hours allowed to return the game) to find out the automations and machines meant to be crafted don't work once you craft them and place them. You will waste your money if you are expecting a fully(or even mostly) playable game. This game was used as a cash grab and has been left incomplete but available for sale over 3 years.",Not Recommended,451,45.0 hrs on record,Posted: February 19,Craftopia
"Craftopia is an amazing, beautiful, open world survival-craft, RPG experience. It wonderfully blends various features and aspects from different games, to create what I can only describe as the ultimate survival craft game.It features nearly everything you could want in a survival-craft game: from fishing, to gathering, mining, farming, and of course, crafting, but has more expansive features and things you probably wouldn't expect from the typical survival game. There are automation systems, there are hoverboards, motorcycles, planes and tanks. There are a variety of skill trees, from weapon mastery and gathering, to magic. There are repeatable dungeons that can be farmed for loot drops like an MMO, there are a variety of monsters and animals to catch and tame, complete with a skill training system...etc.I could go on and on. This game is a beautiful experience, one filled with discovery and exploration. The world is vast and open and you can do virtually everything and anything you desire. You can build and craft nearly anywhere and there is a wealth of content to do, from questing to dungeons and crafting. Every new region you discover and every new item you craft or unlock brings a sense of whimsy and wonder with it.I highly recommend this game.",Recommended,1080,35.0 hrs on record,Posted: February 19,Craftopia
Thank god there is no character weight,Recommended,49,5.6 hrs on record,Posted: February 18,Craftopia
Better than Palworld.,Recommended,36,62.0 hrs on record,Posted: February 17,Craftopia
fun zelda. if you love zelda TOTK,Recommended,44,9.6 hrs on record,Posted: February 16,Craftopia
it is an amazing game and it's full of fun interactive quests and adventures! best game on steam that i have played.,Recommended,112,219.8 hrs on record,Posted: February 14,Craftopia
I don't like it!,Not Recommended,30,0.2 hrs on record,Posted: February 14,Craftopia
"if you liked the game earlier in the early access you might not like it now. I don't know why things were changed to how they are now. But i liked starting on a small tutorial island then going to other places. I played it today for about 2hrs to see if i could go to new places but if thats still in the game its not accessable til much later now. Its def extended the gameplay, but I am not enjoying it as much as I used to. I do enjoy the quests from the villagers and such that you can get now. It just feels like a completely different game.",Not Recommended,452,63.5 hrs on record,Posted: February 19,Craftopia
"Has come a long way from the start. The world is huge, the game play is quirky. I look forward to seeing how it developed now the the studio has a lot more resources.",Recommended,150,76.4 hrs on record,Posted: February 19,Craftopia
"My PC is more than capable, yet the game performs as if i am using a potato. The bike is extremely janky and handles terribly. The building is pretty good but finding a nice place to build is almost impossible. The game is actually pretty decent, but still needs tons of work especially performance wise.",Not Recommended,267,16.8 hrs on record,Posted: February 16,Craftopia
"The game has been in early access for a while now and seems to be in a very alpha state still. A lot of things are missing, broken, buggy, and quite frankly the game is a mess. There is fun to be had but a lot of jank as well. Right now I would give this a hard pass as it is not worth your gaming dollar and there are other games to play or spend the money on. Also, at the current rate of development the game might never be finished or be left in a broken buggy mess of a state as it is now.",Not Recommended,405,43.5 hrs on record,Posted: February 15,Craftopia
Pretty fun,Recommended,26,27.5 hrs on record,Posted: February 13,Craftopia
I've been playing this game for years < 3I love craftopia so ♥♥♥♥♥♥ much < 3,Recommended,78,57.9 hrs on record,Posted: February 12,Craftopia
welp. dont support this company ever again,Not Recommended,53,32.4 hrs on record,Posted: February 11,Craftopia
The jittering and constant visual glitches made this unplayable (sadly). Concept is very cool though!,Not Recommended,104,1.2 hrs on record,Posted: February 10,Craftopia
Katana goes double whoosh!!,Recommended,41,7.1 hrs on record,Posted: February 10,Craftopia
Katana goes whoosh!!,Recommended,35,7.4 hrs on record,Posted: February 10,Craftopia
"It is still in a /very/ Alpha state. many Items have no descriptions, some mechanics are half implimented, sound effects are missing, one later town has placeholder [Test:5 stone] quests. With a lot of effort seemingly being spent on newer, better things like Palworld and Nevergeave. Im worriedif it will ever get more substantial updates.if it DOES, it has incredible potential.",Not Recommended,337,57.8 hrs on record,Posted: February 13,Craftopia
"The devs / pubs are the ones who made PalWorlds. They never finished this game, so them leaving this, makes me believe they won't finish PalWorlds in the future either.",Not Recommended,156,0.6 hrs on record,Posted: February 13,Craftopia
This game is that hot mess ex you keep going back to because despite being a hot mess they are working on themselves and you find that endearing.But it's also super abusive when it drinks.,Recommended,171,3.7 hrs on record,Posted: February 10,Craftopia
"Been playing for some time, and would like to see some improvements.Overall, I enjoy the game, 170.2 hours played as of this review. However, the multiplayer is still incredibly unstable and kinda affects the overall quality. Recently, I was on a multiplayer server and was upgrading a pet in the pet management machine. The server booted me off , as its done several times before.. but this time i lost my level 47 pet. nowhere to be found.its kicked me out idk how many times at this point, at pretty cruicial times. boss fights with friends, crafting something, upgrading equipment. I've lost hours of grinding and gold on this pet though. had most abilities maxed out on it and spent alot of time leveling it. feeling particularly frustrated about this..",Not Recommended,646,183.3 hrs on record,Posted: February 10,Craftopia
"Good game, Things they learned here led to Palworld.",Recommended,61,77.1 hrs on record,Posted: February 10,Craftopia
I'm sorry but this is unplayable. Took the best bits and made Palworld.,Not Recommended,76,0.6 hrs on record,Posted: February 9,Craftopia
pretty good,Recommended,27,21.1 hrs on record,Posted: February 9,Craftopia
"I love this game, it is one of my top. So fun and building, I enjoy this game!!!!",Recommended,81,38.5 hrs on record,Posted: February 7,Craftopia
Hidden Gem,Recommended,26,24.4 hrs on record,Posted: February 7,Craftopia
"Really need to polish the game, but look promising. please give it some love.",Recommended,81,0.8 hrs on record,Posted: February 7,Craftopia
Thanks for buying Palworld as a day 1 funder of Craftopia :),Not Recommended,66,9.5 hrs on record,Posted: February 7,Craftopia
"30H on steam (currently), and almost 190H on Xbox, pretty gud game ngl, even after the seamless update (which to all people going ""BeTtEr WiThOuT SeAmLeSs"", there's an option to return to legacy in the beta options of the game)",Recommended,205,63.7 hrs on record,Posted: February 9,Craftopia
"Decent game, has some bugs and can run rough on your pc if you make huge assembly lines. Its a decent game with monthly updates to improve on it. I purchased it prior to Palworld and felt i should review it since Palworld players are coming into it with incorrect assumptions. I'd recommend it if you like like a mix of everything but mainly any factory/automation games with ok fighting and collectibles.",Recommended,351,53.8 hrs on record,Posted: February 8,Craftopia
"Are they going to finish the game? I mean... they launched Palworld... is this worth it?(If devs respond I will delete my review, whether I like the response or not)",Not Recommended,153,8.5 hrs on record,Posted: February 8,Craftopia
hey i funded palworld,Recommended,35,5.5 hrs on record,Posted: February 7,Craftopia
scammed,Not Recommended,24,1.3 hrs on record,Posted: February 6,Craftopia
Awesome game so far. Just needs some TLC with the building aspect Looking forward to future updates.,Recommended,101,6.8 hrs on record,Posted: February 6,Craftopia
go to play palword,Not Recommended,32,8.6 hrs on record,Posted: February 6,Craftopia
👍,Recommended,18,77.3 hrs on record,Posted: February 6,Craftopia
Palworld inspiration : can also kidn*p npc good game :) /100,Recommended,67,21.5 hrs on record,Posted: February 4,Craftopia
"This game still looks very promising, but needs MUCH more time before it's playable without frustration. Definetly needs some QoL like crafting out of chests.",Not Recommended,151,16.9 hrs on record,Posted: February 7,Craftopia
I've popped in here and there for years watching this game grow and improve. It got a massive update at the end of last year and has consistently patched out the issues that arose from it and continues to be supported. It's honestly pretty funny to see people review bomb this game as abandoned suddenly. These are clearly people who only learned of Craftopia due to Palworld and have not been here playing the game. Because those of us who have been here watching this game grow knew of Palworld because of Craftopia and Palworld has been really publicly in development for years. Yet people only review bombed now.That tells you all you need to know. It's just Palworld haters who can't get any traction review bombing Palworld so they came here to bomb this instead. It's kinda sad really.,Recommended,670,73.8 hrs on record,Posted: February 7,Craftopia
"There's not getting around it. It's Breath Of The Wild. Or rather Breath Of The Wild+.Think everything that Breath Of The Wild has but with also base building, farming, monster collecting, and multiplayer.It has some kinks to work out but other than that it's a pretty great game.",Recommended,250,13.6 hrs on record,Posted: February 7,Craftopia
"Pocketpair ruthlessly butchered this game. The original was a creative take on the survival exploration genre until they removed every ounce of creativity from it with the seamless world update and made it dollar store Breath of the Wild.They removed everything that made Craftopia good, suddenly it was no longer about visiting new lands for resources, it became about following missions across an uninspired world, utterly bankrupt of anything and everything that made the first versions a fun game. There feels like there is NO reason to set up a base, or at least not until you've already played through the whole game and finished all the bland objectives.You think I'm being harsh? The CEO or Pocketpair has gone ON RECORD bragging about how creatively bankrupt they are. I quote ""I don’t necessarily have to be particular about originality. I’m thinking about it. I want to make it more casually. I think it would be a good idea to create things in a way that just jumps on what is trendy"" Genuinely, just making games to capitalise on fads for a quick buck. He doesn't care about making decent, well-thought out games, he cares about ripping off current IPs to make a quick buck. Their next game looks IDENTICAL to Hollow Knight, and he is boasting about it.Even Palworld is likely to be abandoned as soon as it stops being profitable for this lazy, greedy company in favour of other endeavours that ripoff other, more successful games. Genuinely, they DO NOT care about the game they make. They care about being uninteresting and making money.So please people, next time you're looking at a Pocketpair game, remember that they DO NOT care about making a good game, they care about copying other games and taking your money. Do not support them.",Not Recommended,1471,24.5 hrs on record,Posted: February 6,Craftopia
good,Recommended,21,162.9 hrs on record,Posted: February 4,Craftopia
Hehehehe 69 hours!,Recommended,33,75.9 hrs on record,Posted: February 3,Craftopia
Way better with the open world,Recommended,42,21.6 hrs on record,Posted: February 3,Craftopia
its a very fun game with a lot of content and super fun things and activites to do (REALLY SOLID GAME),Recommended,99,94.7 hrs on record,Posted: February 3,Craftopia
"Very fun, a bit janky at times, but overall very good and enjoyable.",Recommended,73,19.4 hrs on record,Posted: February 2,Craftopia
seems people are cr@ping on this game because of Pal worlds success. don't be fooled by the fake reviews. this is a good game.,Recommended,120,138.5 hrs on record,Posted: February 2,Craftopia
Basically Palworld but worse and abandoned.Rare updates that dont really do much for the game. Feels exactly the same to play now as it did a few years ago. Expect more games like Palworld in the future. A good coat of paint and you can resell anything,Not Recommended,223,14.9 hrs on record,Posted: February 4,Craftopia
Love Craftopia B)being able to bring in your own character model is honestly a big + and got me interested in an another app i didn't think id touch in much detail.Its still early access so I hope they will keep working on it.,Recommended,200,7.4 hrs on record,Posted: February 4,Craftopia
"Craftopia is the Applebee's of video games.It's this weird amalgamation of Unity assets glued together that tries to call itself a video game.It's soulless, pointless, and although it still gets updates, this game will and can never be in a finished state.You can't finish developing a game when it's not really a game.The animations are jank, the particle effects are jank, the systems are jank, the combat is jank, the crafting is jank. It feels like someone loaded up a Bethesda game with 1000 mods that barely work.But I suppose if you have low standards and LOVE how diverse the Applebee's/Chili's/TGIF menu is, this is the game for you!",Not Recommended,551,16.5 hrs on record,Posted: February 3,Craftopia
"Is the game perfect? no, but the devs seem to care about it and it is getting updates and patches to make improvements.I've put almost 300 hours into the game and there have been moments of frustration but they are few and far between. If you like crafting games and clearing dungeons, this is the game for you.",Recommended,271,300.7 hrs on record,Posted: February 3,Craftopia
"Craftopia, in its current state, is a little rough around the edges - but that's to be expected from an early access title. Barring some hilarious translations, the game is absolutely playable - and the amount of content that it contains is more than enough to keep you occupied for forty or so hours, even if you don't replay any of it. The terrain and building systems could use some work, but overall, the combat is fun and well-balanced, especially if you choose an appropriate difficulty. Having played both before and after the seamless world update, I feel like the game is on a good trajectory: it may be turning into something of a Zelda clone, but there's nothing inherently wrong with that. Clones are how we develop genres.",Recommended,624,49.0 hrs on record,Posted: February 2,Craftopia
"I really didn't remember this game being this awful. After the realease of palworld i wanted to check this game again, i never got to try the seamless world update.to sum it all up, the update made the game worse and more difficult to understand, it copied zelda breath of the wild even more and started to be a beta for what is now palworld, which seems a bit more polished, but sadly it is proof that the devs just make games and leave them unpolished in early acess for YEARS just to have an excuse. Such a pity, i really wanted to love this game, trust me i trusted them in the early days, they had potential, not anymore tho...",Not Recommended,529,10.2 hrs on record,Posted: February 1,Craftopia
"Came back after a long break to see they did a ""seamless"" update, which seemingly totally rebuilt the game from the ground up as an open world game, instead of teleporting between islands on an archipelago. Some might see this is a great positive for a game in development. ""Clearly they must have done this to fix many issues, and improve the game!"" Unfortunately, the reality of it is that they wasted large amounts of development time making the game different than when I bought it (and not in the more content way), made the game run considerably worse, removed vast swaths of content, reimplemented existing content but made it worse, no building things like floors and farming plots without snapping (sorry if you picked up a plot in the starting area and want to place it in its original spot, or build in certain cool places. No free placement for you, only snapped to a grid, and only able to turn things 45 degrees), hitboxes are so bad that it oftentimes takes several swings of a sword to get a single hit on something directly in front of you, and overall, just made the game less enjoyable to play. Additionally, while trying to find more information about this update, I found that the person in charge of moderating the Steam discussions seems to enjoy nuking topics about the game that aren't singing its praises, criticizes customers for daring to speak negatively about the game, and considers the opinions of users that have complaints or concerns ""useless.""Really enjoying the game PocketPair is likely better known for now, Palworld, and am hoping they continue to improve it, but after returning to this game after a long break, it's even made me concerned about that game as well (even though I've already gotten a good amount of fun out of Palworld). It's really disappointing to see a game you bought in early access not only fail to improve, but actively get worse, after YEARS of waiting. If there are customers out there that are waiting for updates to Palworld, and were hoping to take a peak into PocketPair's back catalogue to tide them over, I'd highly recommend AGAINST getting this one at this point.At one point, I would've recommended it, but no longer can, considering the state the game is in.",Not Recommended,1862,17.9 hrs on record,Posted: February 2,Craftopia
In EA since more than 3 years. Didnt add much to the game and ♥♥♥♥♥♥♥♥ buggy. Just released a new game instead /clown,Not Recommended,112,6.6 hrs on record,Posted: February 1,Craftopia
Never kept my interest when it first came out. Tried the newest update after not playing for years and it just doesn't feel good to play.,Not Recommended,129,5.9 hrs on record,Posted: February 1,Craftopia
PLAY A LOT,Recommended,25,69.2 hrs on record,Posted: February 1,Craftopia
Naughty devs finish this game!!! RAIN me with clown awards COME ON xD,Not Recommended,74,5.7 hrs on record,Posted: February 1,Craftopia
"All legends has its early form. Game it self is not bad at all.Its not as polished as palwrold but, definitely a fun game still.",Recommended,121,204.0 hrs on record,Posted: February 1,Craftopia
This game has come a long way over the years and doesn't deserve all the hate it's getting because Palworld came out. It's even been updated since then. What matters is that it's fun! Right?,Recommended,173,8.0 hrs on record,Posted: February 1,Craftopia
"An amazingly fun game. You can spend a lot of time building up and i wouldn't really call it a grind game.Really happy about the recent updates and they have been updating all along. For the price, you can easily sink 50-60 hours just completing the basics. One of my favorite games with a good road map for 2024 and beyond!!",Recommended,282,75.7 hrs on record,Posted: February 1,Craftopia
My friends and I didn't enjoy Craptopia.,Not Recommended,51,1.1 hrs on record,Posted: January 31,Craftopia
Palworld = good game that carry your company ?What about this game = trash ?Please fix your game Pocketpair.,Not Recommended,107,19.0 hrs on record,Posted: January 31,Craftopia
"love it, just needs way more time and updates",Recommended,54,26.9 hrs on record,Posted: January 31,Craftopia
I got far in the game then they changed all of it.,Not Recommended,56,51.3 hrs on record,Posted: January 29,Craftopia
"Craptopia.3 hours to find 5 bright herbs to craft a magic staff only to find something better than whole craft by 25% in the end to get ""0 damage increase"".I gave this game a chance 3 times...",Not Recommended,173,45.7 hrs on record,Posted: January 31,Craftopia
"Finish your game please.Kept coming back for updates to continue to find little to no direction.Obviously used this title to test mechanics to flesh out your new game, Palworld.",Not Recommended,166,10.8 hrs on record,Posted: January 31,Craftopia
"Dude I wanna play this game SO BAD, but no matter what I do I never get above 50 FPS. Doesn't matter how empty the area is and what settings I use, and my PC is pretty good.PLEASE LET ME PLAY AAAAAAAA",Not Recommended,176,2.5 hrs on record,Posted: January 31,Craftopia
"This game is really fun and it reminds me a of Breath of the Wild a bit, This games' leveling system is really cool, it's still under development, but it worth the buy!:D",Recommended,155,103.0 hrs on record,Posted: January 31,Craftopia
"In my opinion, does not deserve the review bombing that its getting due to the release of Palworld.People don't seem to understand that the dev team is split and that they are proving that this won't be abandoned. Its also very clear what they are going for. Palworld is Pokemon Arceus, this is BOTW complete with challenge shrines/korok seed challenges, puzzle caves and towers that you unlock through crafting to fast travel from. Palworld is also much more early access than this. This has much more content, less dead map, and overall a bit more to it. You also have robots that basically do the animals job. The game is also relatively relaxing whilst allowing for semi complex, logic based automation with conveyor belts and/or mass farming, which, I'm a sucker for actual automation and conveyor belts.It's admittedly a little clunkier than PW from what I've seen but it's not a huge fallback. World feels well crafted, there are caves, puzzles, a huge array of animals, bosses, vehicles, weapons, armour and I enjoy the aspect of 'recreating earth', eventually finding villages that have electricity etc, very cool. And eventually the supposed ability to tame a literal God, though I personally haven't done this yet, just heard through the grapevine.Overall, the success of PW makes me hope that this gives them even more resources to make both games great in their own unique ways. I've seen a vast improvement to Craftopia over the years and I'm very much enjoying where its at at the moment. One thing people are also missing is that PW wasn't developed over night, they have proven they are capable on working on both projects by working on both projects in tandem. It also has a very public, promising roadmap that I suggest checking out if you are concerned and the updates are generally plentiful and overall fun.",Recommended,1536,20.3 hrs on record,Posted: January 31,Craftopia
"ok, i am actually going to change my review completely, leaving the bottom part because it is still funny.there is a metaphor regularly used known as the ship of theseus. the story boils down to determining whether or not an object can still be regarded as the original object as it was at creation when time goes on and the parts of the object are replaced. this game is like if many popular games decided to have their parts taken out in exchange for other mechanics/concepts, then this game took those mechanics and built a new ship out of them. much of this ship comes from the game the legend of zelda breathe of the wild, but there are some similar themes from other games. the obvious parts that feel directly taken are things like the stamina meter, which works extremely similarly to botw, and the paraglider mechanics. ironically, this game has directly had many ship of theseus moments, especially with the island to seamless map change. and this where i can directly trace a similar concept taken from a different game to craftopia: certain environments. there is a large area that was implemented with the seamless world that is not necessarily stolen, but seems rather heavily inspired by elden ring; the area is a huge castle with a huge golden tree in the middle. additionally, if you thought that palworld copied pokemon, i regret to inform you that this game was the original game where pocketpair copied the creature capturing game. while it is not a stolen concept to have the player be able to capture creatures and let them do your bidding, this game's implementation of the mechanic does mirror pokemon quite a bit, with the player having to damage the enemies then capture them with a pokeball-like item. again, i am not trying to say that this game is directly copying other games. much of this is just inspiration: the inside of the elden ring-like fortress is unlike the actual elden ring capital city, some of the creatures in this game cannot be captured without utilizing certain items, and even the botw parts can be seen as different because of the inclusion of an upgradeable mana bar. i am just pointing out that this game is a smorgasbord of other games that needs to be polished more in all those aspects. i hope that the item descriptions become more descriptive, the game performance becomes more optimized, and the enemy diversity becomes more wild (so that i can capture them because even the most bare bones pokemon concept beats out real pokemon).TL:DR: this game really takes from a heap of other games, not just breathe of the wild, but i hope it still grows.edit: if you like shiny achievements, almost every achievement in this game is rare since achievements were added later, meaning that players who get them now will be in the rare percentile that actually returned/just got the game",Recommended,2358,59.0 hrs on record,Posted: January 30,Craftopia
"So far it's pretty fun, pretty relaxed so far, lots of crafting, combat, quests etc.I'll see how I like it when the game goes on but I enjoy it",Recommended,132,7.9 hrs on record,Posted: January 29,Craftopia
"Product refundedJUST, NO.",Not Recommended,40,0.6 hrs on record,Posted: January 29,Craftopia
gud gam,Recommended,23,23.3 hrs on record,Posted: January 28,Craftopia
Allot of work has gone into this game...But its still not ready to sink time intoAs with many other players i fear palworld's success will take away yet even more effort from completing this game...However it is clear that their goal is to progress this game further. i don't want to spend allot of time in this game as its not ready yet and has not been for a long time.however if the game keeps on the path it has it will be worth having waited.i bought this early primarily to support the developers.i have recently spent 40 min in the game and can see that allot has changed from the previous time i played it.Keep up the good work.,Recommended,534,1.0 hrs on record,Posted: January 29,Craftopia
Craftopium,Recommended,27,5.3 hrs on record,Posted: January 28,Craftopia
"for something that stole so much content, it's just absolutely the worst game I've ever played",Not Recommended,96,44.7 hrs on record,Posted: January 27,Craftopia
Genuinely a really fun survival craft game that stands out on its own from PalworldFeel's like if breath of the wild was a full on survival game with machines and automationHope the devs keep the Craftopia update's going even after Palworld's success since both games stand very well on their own regardless of the similarities,Recommended,290,50.0 hrs on record,Posted: January 28,Craftopia
Been playing craftopia on and off for two years now and honestly super fun game with a lot of options and things to keep you busy for weeks at a time without being bored.,Recommended,154,17.3 hrs on record,Posted: January 27,Craftopia
Purchasing an Early Access game on steam is PROMISE that they will finish it and fix it later. We give developers money for the unfinished version to support them as they finish it. NOT MAKE ANOTHER GAME AND ASK US TO PAY FOR THAT TOO.,Not Recommended,208,22.2 hrs on record,Posted: January 27,Craftopia
This game has been abandoned by its makers in favour for their other game. Palworld. And thanks to this games success Craftopia will never be finished... what a shame. Because its the spiritual predecessor of Palworld. Everything is here already.,Not Recommended,224,14.0 hrs on record,Posted: January 27,Craftopia
Knew what I was getting into going into this. Any game that holds my attention span for more than 2 hrs. is pretty solid in my book.,Recommended,123,19.5 hrs on record,Posted: January 26,Craftopia
To many bugs and to few instructions.,Not Recommended,48,0.6 hrs on record,Posted: January 25,Craftopia
good way to spend time,Recommended,35,3.5 hrs on record,Posted: January 25,Craftopia
Money grab for other projects of this studio. Won't buy any early access from them ever again.,Not Recommended,95,52.7 hrs on record,Posted: January 24,Craftopia
"This game feels like a soulless combination of everything that was popular from 2015 to 2020. No systems interact well, everything is buggy and janky. Performance is ♥♥♥♥ and game looks like ass. Can still be fun with friends tho, if you just try to make the best out of it. Sadly, this game seems to have been abandoned even before the release of PalWorld, with minor changes and bugfixes instead of gameplay improvements being a majority of content provided over the last months.",Not Recommended,415,28.7 hrs on record,Posted: January 26,Craftopia
"ive been playing this game off and on for years and really like it! i havent played palworld yet but been following the updates for it the last year or so.. happy for the makers of these games and i cant wait to see what they do with craftopia now with all the palworld monies :D this game isnt perfect, its been in early dev forever, and there are some things i am ecited to be added.. but i believe in this game and the roadmap :D BTW they just updated it on jan 24 so theres a new biome :3 give it a chance its fun when you get started and a couple mods will make it easier to build (add grid) pls dont be mean to this game :(",Recommended,516,235.0 hrs on record,Posted: January 26,Craftopia
"rest well my sweet prince. you were so fun before the Seamless World update when everything broke..And now they turned you into Palworld. :(I highly doubt after the success of Palworld, we will see further work on Craftopia. It would be wonderful but I just don't logically see it happening. Before the seamless world update, I absolutely would have recommended this game. It was a ton of fun, had a great mix of open world/fighting/survival...i hope i'm wrong and pocketpair continues to develop craftopia.",Not Recommended,441,8.5 hrs on record,Posted: January 25,Craftopia
Ya'll haven't heard of Scrap Mechanic if you think this is an abandoned game... Sad to see so many ignorant reviews saying they abandoned this for Palworld when they've been actively updating and improving the game for the last year.I'm just really confused why Craftopia got review bombed for no reason whatsoever. Hope Steam deletes the irrelevant reviews just meant to tank this game.,Recommended,341,12.1 hrs on record,Posted: January 25,Craftopia
"I would like to start this review by stating the fact that I did enjoy my time playing Craftopia and got it way back when during the early days of release, but it was just a major let down whenever the updates stopped rolling out.It probably should have been red flags to me whenever they said the team was going to be developing another game while Craftopia was still being early access. This didn't really phase me too much because I trusted the size of the developer team and the scale of the game and was hopeful they stuck with their promise of having Craftopia updates along side the new game known to everyone as ""Palworld"". All of the faith I had in the company quickly disappeared as soon as I saw the number of people purchasing and playing their new game and making it one of the biggest hits on steam rivaling some of the most popular games within just a few days of release. Was this a problem? No. I am glad the company struck gold and is making profits where they earned it. Was this a huge concern of mine? Yes. This means the game they released prior to Palworld loses all of its value and goes right out of the window because they now have this giant cash cow that prints money and the developers would like to retain and further obtain players. What does this mean for Craftopia? It will get way less updates if none at all (which it currently has had zero proper major updates since seamless came out). Again it is still early access, but people that purchase a game in this state expects some sort of attention to the game in the form of updates even if they are a few months apart and not over a year. But who knows maybe Palworld will actually get constant updates because it has so many eyes on it vs Craftopia.In conclusion:Please do NOT buy this game if you are expecting it to be updated further than it currently is and if you are playing the older version (pre-seamless) I recommend playing that version of the game because it has WAY more content in it than the current version (Seamless stripped away so much of the content in the prior update that they went from 7/10 progress all the way back down to 2/10 for terms of quality content).",Not Recommended,1782,224.2 hrs on record,Posted: January 25,Craftopia
"Considering the developers currently have 3 early access titles in development simultaneously, and their most recent release Palworld has most of the features people expected of Craftopia, I have no confidence this title will ever reach it's promised potential, especially when Palworld is one of the biggest games ever on Steam. Just buy that instead.",Not Recommended,315,27.2 hrs on record,Posted: January 25,Craftopia
